song,spectrogram hash,mfcc hash,mel spectrogram hash,Chroma_stft hash
Group03_Song01_Music.mp3,92b8c2bd92b8c4bd92b8c4adb2b8c425bbb5c425bf854d65bd056d45bd056c47,801c8211938092a990a2d0a2f0e2f8c6f51efd5eef51e77d46770477477f8d75,b2bdb2bdb2bdb2bdbabd92bd82bd92bd92bcd07cc07e444c444a45424d424d42,87c087c0783f783f87c087c0783f783f87c087c0783f783f783f87c087c0783f
Group03_Song01_Vocals.mp3,8035803d803580bd8097c4bfa497e48fa49764efa47de46fa06dc8eba0ef59eb,80bd80b580958095801587138b199b08db68dbe2faebfb4aff487fc27fc27f62,80958095809784b7a46fe46bc66987696669666866687e607fa67f827fc27f68,80b680b67f497f4980b680b67f497f4980b680b67f497f497f4980b680b67f49
Group03_Song02_Full.mp3,8237833f8037827f802bc0ffc02b40dfc00b41dfc01c63ffa0546bffa0457bff,8000800080009e018a2084039f009fa08fdfafd5affefffefdfe7de879ff70de,823f803f803f80dc80ddc0cbd0cb714379437f437f447f447f247fa07f907e90,8000800000000000800080000000000080008000000000000000800080000000
Group03_Song02_Music.mp3,804181ff8041817f8003817f8003917f801791ff805757ff80557fff95557fff,80008014c000e820c820c8a2caa0fea8a7c987df8eddbf9dbf9fbf1fbf3ffe1d,805f805f805f805f805f805f805f98463f027fa07fa07fa07fa07fa27fa27fa2,8000800000000000800080000000000080008000000000000000800080000000
Group03_Song02_Vocals.mp3,8f198f158f198f1c8a9cce0c8a9c4e6e8e8e4d2e870e492eb74e69a6b74e69a6,8f888f1c8f1c8a1e8b9a9ab98e958d11d163f1e2f1e3f0e3e0e2f0e370e370e2,8f1d8f1d8f1c8f4eae6e8aed9ca514a974a970a279a271a274c456cc76ec7064,ae1a801a71ff71ff8e18ae1a512571f7ae1a8e087fff51a551e4ae188e0051e5
Group03_Song03_Full.mp3,98799869886bc8638ce3c9d6a5d64116f7967304b79d770cb70d5f0cb7094f28,845788e789eec9eac836c8f49871906bbfb99e09b649b31d731c77886f846704,883b88ab81aff794f716c556ccd5c45574147514575647626623773729cd09e9,b734b73448cb48cbb734b73448cb48cbb734b73448cb48cb48cbb734b73448cb
Group03_Song03_Music.mp3,974ecd97974ecd97964ecd97964acd9f860acc9f864acc378648cc35a6484831,94498c178c1f8f1e8762938ab3c4b3e1f1f5f061e874f078f068f078f8b8f0e9,8d9e8d9e8d9e8c8f8c8b84498649e269f2617261726172747274797479f479f4,8000800000000000000080008000000000000000800080000000000000008000
Group03_Song03_Vocals.mp3,88348c7488748c788471ecf9a4e9f4ebb1eb71a3b3a61782b3861fcab7464f92,94689470ee75e8f1e831c878882c8834ff9f9f839786b38ed38e538e4b8e4783,887c8874b074b1ebb5298ce8cc6ad44a750b578b4f894f81778377cf2bc663c2,b362b3624c9d4c9db362b3624c9d4c9db362b3624c9d4c9d4c9db362b3624c9d
Group03_Song04_Full.mp3,a09488d5a0949affe09292eae0929a6be1929f7be192df6be182db6be1825b69,80008000e082e282e082e496ac96acb78cf5acff9e7f9f799f799f695f695769,a092a092a092a092a096a09ca1dce1cde14de14de16d796d796d7f6d5f6d5f6d,800080007fff7fff800080007fff7fff800080007fff7fff7fff800080007fff
Group03_Song04_Music.mp3,e0c09935e0c19935f0c19935f0c19935f0c09d35f0c29d35f0c29f7ff0c29f7f,8000a000e0c2e102e341e295ea95cc55cd5d9e599f7f9f3b9f3a9eba9f3a9f2a,e085e085f085f084f184f184f084b0c5a085a0c5b185f1cf557e5f7e5f7f1f7f,800080007fff7fff800080007fff7fff800080007fff7fff7fff800080007fff
